t,eta_l,eta_r,m_rel,width
0.9805,0.32101,0.27099,1.000000,159
1.0080,0.31610,0.27318,0.999998,165
1.0263,0.31284,0.27540,0.999997,159
1.0446,0.30957,0.27806,0.999997,158
1.0629,0.30617,0.28087,0.999996,145
1.0813,0.30240,0.28361,0.999995,155
1.1087,0.29582,0.28749,0.999996,143
1.1270,0.29115,0.29017,0.999995,136
1.1454,0.28667,0.29311,0.999995,154
1.1637,0.28271,0.29639,0.999996,163
1.1820,0.27964,0.29991,0.999995,141
1.2003,0.27706,0.30350,0.999995,149
1.2278,0.27360,0.30860,0.999996,162
1.2461,0.27133,0.31152,0.999996,158
1.2644,0.26924,0.31402,0.999997,166
1.2827,0.26751,0.31619,0.999997,164
1.3010,0.26625,0.31808,0.999997,166
1.3285,0.26543,0.32045,0.999997,165
1.3468,0.26572,0.32172,0.999997,167
1.3651,0.26658,0.32265,0.999997,163
1.3834,0.26777,0.32311,0.999996,170
1.4018,0.26908,0.32296,0.999997,174
1.4201,0.27034,0.32205,0.999997,165
1.4476,0.27236,0.31922,0.999996,161
1.4659,0.27417,0.31647,0.999995,154
1.4842,0.27662,0.31339,0.999995,166
1.5025,0.27965,0.31020,0.999994,156
1.5208,0.28316,0.30709,0.999993,158
1.5483,0.28877,0.30254,0.999993,174
1.5666,0.29229,0.29939,0.999992,134
1.5849,0.29542,0.29589,0.999992,139
1.6032,0.29818,0.29200,0.999991,145
1.6215,0.30070,0.28785,0.999992,143
1.6490,0.30452,0.28128,0.999992,163
1.6673,0.30731,0.27728,0.999992,158
1.6856,0.31042,0.27387,0.999993,159
1.7040,0.31373,0.27131,0.999994,157
1.7223,0.31682,0.26937,0.999994,171
1.7406,0.31922,0.26795,0.999994,162
1.7681,0.32104,0.26632,0.999995,179
1.7864,0.32110,0.26536,0.999995,178
1.8047,0.32063,0.26453,0.999995,177
1.8230,0.31999,0.26402,0.999995,178
1.8413,0.31937,0.26410,0.999995,180
1.8688,0.31816,0.26568,0.999994,165
1.8871,0.31675,0.26762,0.999994,164
1.9054,0.31461,0.27006,0.999994,164
1.9237,0.31185,0.27285,0.999993,167
1.9421,0.30875,0.27585,0.999993,153
1.9604,0.30560,0.27893,0.999992,176
1.9878,0.30112,0.28368,0.999991,156
2.0062,0.29826,0.28700,0.999991,150
2.0245,0.29545,0.29051,0.999990,155
2.0428,0.29259,0.29421,0.999990,168
2.0611,0.28962,0.29807,0.999990,146
2.0886,0.28505,0.30394,0.999990,145
2.1069,0.28214,0.30770,0.999990,146
2.1252,0.27949,0.31119,0.999991,156
2.1435,0.27725,0.31437,0.999992,159
2.1618,0.27533,0.31719,0.999992,163
2.1801,0.27357,0.31965,0.999992,179
2.2076,0.27105,0.32265,0.999993,159
2.2259,0.26947,0.32407,0.999994,176
2.2443,0.26806,0.32489,0.999994,180
2.2626,0.26703,0.32497,0.999994,177
2.2809,0.26648,0.32425,0.999994,175
2.3084,0.26669,0.32181,0.999993,167
2.3267,0.26746,0.31960,0.999993,179
2.3450,0.26865,0.31710,0.999992,158
2.3633,0.27030,0.31436,0.999993,159
2.3816,0.27241,0.31135,0.999992,159
2.4091,0.27636,0.30629,0.999992,155
2.4274,0.27939,0.30248,0.999991,159
2.4457,0.28256,0.29848,0.999991,155
2.4640,0.28576,0.29450,0.999991,138
2.4823,0.28900,0.29076,0.999991,148
2.5007,0.29237,0.28736,0.999990,148
2.5281,0.29764,0.28306,0.999992,158
2.5464,0.30119,0.28056,0.999992,150
2.5648,0.30467,0.27837,0.999992,168
2.5831,0.30807,0.27649,0.999992,147
2.6014,0.31142,0.27483,0.999993,163
2.6289,0.31645,0.27257,0.999994,160
2.6472,0.31952,0.27123,0.999994,162
2.6655,0.32210,0.27006,0.999994,168
2.6838,0.32403,0.26915,0.999995,178
2.7021,0.32525,0.26862,0.999996,177
2.7204,0.32583,0.26857,0.999995,177
2.7479,0.32572,0.26934,0.999995,181
2.7662,0.32501,0.27030,0.999995,174
2.7845,0.32368,0.27151,0.999995,164
2.8029,0.32152,0.27294,0.999994,167
2.8212,0.31843,0.27456,0.999994,163
2.8486,0.31254,0.27743,0.999993,164
2.8670,0.30826,0.27969,0.999992,154
2.8853,0.30408,0.28225,0.999991,154
2.9036,0.30008,0.28503,0.999991,155
2.9219,0.29625,0.28791,0.999990,156
2.9402,0.29254,0.29080,0.999990,165
2.9677,0.28699,0.29513,0.999991,140
2.9860,0.28334,0.29810,0.999990,153
3.0043,0.27972,0.30121,0.999992,164
3.0226,0.27635,0.30445,0.999991,152
3.0409,0.27339,0.30770,0.999991,159
3.0684,0.26994,0.31222,0.999992,160
3.0867,0.26820,0.31476,0.999992,156
3.1051,0.26692,0.31684,0.999993,168
3.1234,0.26609,0.31847,0.999993,162
3.1417,0.26573,0.31974,0.999993,177
3.1692,0.26590,0.32107,0.999993,173
3.1875,0.26641,0.32152,0.999994,164
3.2058,0.26724,0.32151,0.999993,167
3.2241,0.26842,0.32093,0.999993,174
3.2424,0.27003,0.31970,0.999993,160
3.2607,0.27209,0.31787,0.999992,160
3.2882,0.27597,0.31432,0.999992,162
3.3065,0.27900,0.31165,0.999991,160
3.3248,0.28227,0.30875,0.999990,149
3.3431,0.28564,0.30561,0.999989,142
3.3615,0.28896,0.30219,0.999989,165
3.3889,0.29357,0.29668,0.999988,153
3.4072,0.29648,0.29290,0.999988,142
3.4256,0.29941,0.28916,0.999988,149
3.4439,0.30242,0.28558,0.999988,148
3.4622,0.30548,0.28224,0.999989,151
3.4805,0.30842,0.27916,0.999989,157
3.5080,0.31223,0.27505,0.999990,150
3.5263,0.31425,0.27261,0.999989,158
3.5446,0.31596,0.27049,0.999990,162
3.5629,0.31743,0.26875,0.999991,157
3.5812,0.31867,0.26741,0.999991,159
3.6087,0.31995,0.26596,0.999991,175
3.6270,0.32024,0.26532,0.999991,175
3.6453,0.31998,0.26503,0.999991,175
3.6637,0.31920,0.26525,0.999991,160
3.6820,0.31797,0.26608,0.999991,163
3.7003,0.31634,0.26753,0.999991,166
3.7278,0.31316,0.27068,0.999990,151
3.7461,0.31062,0.27326,0.999989,161
3.7644,0.30779,0.27609,0.999989,149
3.7827,0.30477,0.27907,0.999988,155
3.8010,0.30164,0.28220,0.999988,152
3.8285,0.29685,0.28729,0.999986,156
3.8468,0.29364,0.29106,0.999986,177
3.8651,0.29043,0.29508,0.999986,146
3.8834,0.28725,0.29924,0.999986,173
3.9017,0.28419,0.30336,0.999987,147
3.9201,0.28129,0.30733,0.999987,148
3.9475,0.27749,0.31283,0.999987,160
3.9659,0.27539,0.31609,0.999988,157
3.9842,0.27367,0.31891,0.999988,175
4.0025,0.27229,0.32118,0.999989,173
4.0208,0.27121,0.32277,0.999989,171
4.0483,0.27008,0.32393,0.999990,176
4.0666,0.26959,0.32400,0.999989,184
4.0849,0.26929,0.32365,0.999990,188
4.1032,0.26920,0.32286,0.999989,180
4.1215,0.26937,0.32153,0.999989,170
4.1490,0.27019,0.31839,0.999988,158
4.1673,0.27113,0.31568,0.999988,170
4.1856,0.27237,0.31265,0.999988,156
4.2039,0.27396,0.30945,0.999988,160
4.2223,0.27593,0.30616,0.999987,162
4.2406,0.27832,0.30283,0.999987,159
4.2680,0.28271,0.29782,0.999986,170
4.2864,0.28602,0.29452,0.999985,140
4.3047,0.28951,0.29121,0.999985,141
4.3230,0.29306,0.28788,0.999985,137
4.3413,0.29663,0.28446,0.999985,164
4.3688,0.30203,0.27942,0.999986,161
4.3871,0.30571,0.27633,0.999986,153
4.4054,0.30942,0.27367,0.999987,154
4.4237,0.31305,0.27162,0.999987,148
4.4420,0.31646,0.27014,0.999988,163
4.4604,0.31942,0.26931,0.999988,164
4.4878,0.32267,0.26900,0.999988,171
4.5061,0.32386,0.26914,0.999988,175
4.5245,0.32427,0.26939,0.999988,181
4.5428,0.32402,0.26975,0.999989,182
4.5611,0.32331,0.27033,0.999989,170
4.5886,0.32173,0.27181,0.999988,164
4.6069,0.32030,0.27320,0.999987,164
4.6252,0.31855,0.27491,0.999987,168
4.6435,0.31635,0.27691,0.999986,155
4.6618,0.31347,0.27910,0.999987,177
4.6801,0.30997,0.28141,0.999986,155
4.7076,0.30389,0.28489,0.999985,142
4.7259,0.29954,0.28711,0.999984,157
4.7442,0.29526,0.28929,0.999984,155
4.7626,0.29119,0.29154,0.999984,176
4.7809,0.28741,0.29402,0.999984,148
4.8083,0.28250,0.29843,0.999984,146
4.8267,0.27949,0.30180,0.999985,159
4.8450,0.27658,0.30535,0.999985,157
4.8633,0.27382,0.30878,0.999985,153
4.8816,0.27120,0.31184,0.999986,169
4.9091,0.26795,0.31542,0.999987,153
4.9274,0.26640,0.31718,0.999987,155
4.9457,0.26549,0.31853,0.999987,165
4.9640,0.26525,0.31954,0.999987,163
4.9823,0.26555,0.32023,0.999987,164
5.0006,0.26628,0.32054,0.999987,170
