t,eta_l,eta_r,m_rel,width
0.0007,0.31992,0.26508,1.000000,0
0.0281,0.31935,0.26559,1.000000,117
0.0465,0.31852,0.26636,0.999999,132
0.0648,0.31734,0.26748,0.999999,147
0.0831,0.31581,0.26897,0.999999,176
0.1014,0.31394,0.27083,0.999998,154
0.1289,0.31053,0.27438,0.999997,152
0.1472,0.30789,0.27725,0.999997,143
0.1655,0.30498,0.28052,0.999997,155
0.1838,0.30186,0.28418,0.999997,151
0.2021,0.29855,0.28818,0.999997,142
0.2205,0.29511,0.29250,0.999997,153
0.2479,0.28985,0.29933,0.999996,148
0.2662,0.28638,0.30391,0.999997,148
0.2846,0.28303,0.30832,0.999997,151
0.3029,0.27986,0.31238,0.999997,139
0.3212,0.27695,0.31591,0.999997,157
0.3487,0.27318,0.32000,0.999998,164
0.3670,0.27112,0.32183,0.999999,160
0.3853,0.26945,0.32298,0.999999,163
0.4036,0.26821,0.32354,0.999999,175
0.4219,0.26736,0.32360,1.000000,175
0.4402,0.26688,0.32326,1.000000,173
0.4677,0.26682,0.32220,1.000000,162
0.4860,0.26717,0.32111,0.999999,162
0.5043,0.26778,0.31969,1.000000,165
0.5226,0.26865,0.31791,0.999999,161
0.5410,0.26974,0.31566,0.999999,162
0.5684,0.27186,0.31130,0.999998,157
0.5868,0.27370,0.30776,0.999997,158
0.6051,0.27601,0.30385,0.999998,143
0.6234,0.27887,0.29983,0.999997,154
0.6417,0.28234,0.29598,0.999997,150
0.6600,0.28634,0.29245,0.999997,132
0.6875,0.29288,0.28798,0.999997,136
0.7058,0.29723,0.28541,0.999997,147
0.7241,0.30133,0.28294,0.999997,160
0.7424,0.30510,0.28044,0.999997,148
0.7607,0.30857,0.27790,0.999997,163
0.7882,0.31339,0.27432,0.999998,165
0.8065,0.31647,0.27230,0.999998,161
0.8248,0.31949,0.27072,0.999999,160
0.8432,0.32240,0.26963,0.999999,158
0.8615,0.32504,0.26908,1.000000,178
0.8889,0.32796,0.26908,1.000000,173
0.9073,0.32874,0.26939,1.000001,176
0.9256,0.32829,0.26970,1.000000,186
0.9439,0.32667,0.26994,1.000000,181
0.9622,0.32412,0.27027,1.000000,162
