t,eta_l,eta_r,m_rel,width
2.8849,0.30554,0.28014,0.999998,378
2.9032,0.30122,0.28286,0.999998,390
2.9215,0.29684,0.28591,0.999998,366
2.9490,0.29049,0.29097,0.999999,348
2.9673,0.28648,0.29454,0.999998,381
2.9856,0.28269,0.29815,0.999999,363
3.0040,0.27916,0.30169,1.000000,362
3.0223,0.27597,0.30507,1.000000,363
3.0406,0.27318,0.30824,1.000000,369
3.0681,0.26985,0.31253,1.000000,378
3.0864,0.26822,0.31506,1.000000,368
3.1047,0.26704,0.31731,1.000002,389
3.1230,0.26624,0.31925,1.000002,389
3.1413,0.26579,0.32084,1.000002,401
3.1688,0.26578,0.32244,1.000001,405
3.1871,0.26622,0.32292,1.000001,405
3.2054,0.26703,0.32290,1.000002,405
3.2237,0.26819,0.32236,1.000002,407
3.2421,0.26968,0.32127,1.000001,419
3.2604,0.27147,0.31960,1.000000,404
3.2878,0.27470,0.31602,1.000000,416
3.3062,0.27724,0.31294,0.999999,402
3.3245,0.28010,0.30943,1.000000,395
3.3428,0.28325,0.30563,0.999999,408
3.3611,0.28665,0.30176,0.999998,381
3.3886,0.29207,0.29615,0.999998,364
3.4069,0.29576,0.29261,0.999998,354
3.4252,0.29943,0.28918,0.999999,370
3.4435,0.30301,0.28581,0.999999,341
3.4618,0.30643,0.28251,0.999999,359
3.4802,0.30962,0.27933,1.000001,359
3.5076,0.31384,0.27497,1.000000,366
3.5259,0.31619,0.27242,1.000000,370
3.5443,0.31814,0.27020,1.000001,385
3.5626,0.31968,0.26835,1.000001,374
3.5809,0.32082,0.26689,1.000003,404
3.6084,0.32176,0.26544,1.000003,411
3.6267,0.32182,0.26499,1.000002,412
3.6450,0.32135,0.26493,1.000002,409
3.6633,0.32034,0.26527,1.000002,411
3.6816,0.31880,0.26600,1.000002,406
3.7091,0.31565,0.26786,1.000001,420
3.7274,0.31311,0.26964,1.000000,412
3.7457,0.31033,0.27187,1.000001,418
3.7640,0.30734,0.27454,1.000000,413
3.7823,0.30419,0.27759,1.000001,400
3.8007,0.30090,0.28097,1.000000,403
3.8281,0.29592,0.28650,1.000000,392
3.8464,0.29272,0.29041,0.999999,403
3.8648,0.28971,0.29447,1.000000,361
3.8831,0.28691,0.29865,1.000000,354
3.9014,0.28429,0.30289,1.000000,354
3.9289,0.28065,0.30914,1.000000,355
3.9472,0.27839,0.31301,1.000000,364
3.9655,0.27627,0.31649,1.000001,358
3.9838,0.27436,0.31948,1.000001,378
4.0021,0.27272,0.32197,1.000001,374
4.0204,0.27137,0.32397,1.000002,390
4.0479,0.26989,0.32610,1.000002,393
4.0662,0.26921,0.32685,1.000003,407
4.0845,0.26873,0.32694,1.000003,408
4.1029,0.26839,0.32630,1.000004,414
4.1212,0.26824,0.32488,1.000003,415
4.1486,0.26847,0.32138,1.000003,415
4.1670,0.26910,0.31828,1.000002,410
4.1853,0.27020,0.31472,1.000003,415
4.2036,0.27182,0.31085,1.000002,400
4.2219,0.27393,0.30684,1.000001,395
4.2402,0.27648,0.30281,1.000001,407
4.2677,0.28097,0.29684,1.000001,383
4.2860,0.28435,0.29298,1.000000,358
4.3043,0.28800,0.28929,1.000001,370
4.3226,0.29190,0.28584,1.000000,349
4.3410,0.29604,0.28272,1.000000,361
4.3684,0.30252,0.27867,1.000000,351
4.3867,0.30685,0.27639,1.000002,365
4.4051,0.31104,0.27442,1.000002,362
4.4234,0.31492,0.27276,1.000002,362
4.4417,0.31839,0.27140,1.000002,373
4.4692,0.32261,0.26996,1.000002,385
4.4875,0.32466,0.26938,1.000003,390
4.5058,0.32607,0.26909,1.000004,398
4.5241,0.32680,0.26904,1.000004,397
4.5424,0.32685,0.26924,1.000003,408
4.5607,0.32624,0.26965,1.000004,413
4.5882,0.32418,0.27068,1.000004,403
4.6065,0.32211,0.27164,1.000004,401
4.6248,0.31957,0.27285,1.000001,423
4.6431,0.31661,0.27432,1.000003,408
4.6615,0.31331,0.27609,1.000003,409
4.6889,0.30787,0.27931,1.000001,403
4.7072,0.30401,0.28185,1.000001,408
4.7256,0.30003,0.28470,1.000000,379
4.7439,0.29598,0.28780,1.000000,372
4.7622,0.29195,0.29111,1.000001,375
4.7805,0.28803,0.29456,1.000000,391
4.8080,0.28252,0.29982,1.000001,364
4.8263,0.27914,0.30327,1.000000,366
4.8446,0.27606,0.30659,1.000002,372
4.8629,0.27330,0.30972,1.000001,358
4.8812,0.27094,0.31258,1.000002,386
4.9087,0.26818,0.31624,1.000003,377
4.9270,0.26687,0.31818,1.000003,400
4.9453,0.26599,0.31967,1.000002,391
4.9637,0.26550,0.32071,1.000003,403
4.9820,0.26540,0.32129,1.000003,408
5.0003,0.26566,0.32144,1.000003,405
