y_over_D,u_over_U
-3.000000,1.035231
-2.950000,1.035231
-2.900000,1.034771
-2.850000,1.034771
-2.800000,1.034771
-2.750000,1.034771
-2.700000,1.032106
-2.650000,1.032106
-2.600000,1.032106
-2.550000,1.032106
-2.500000,1.026049
-2.450000,1.026049
-2.400000,1.026049
-2.350000,1.026049
-2.300000,1.017447
-2.250000,1.017447
-2.200000,1.017447
-2.150000,1.008361
-2.100000,1.008361
-2.050000,1.008361
-2.000000,1.008361
-1.950000,0.999626
-1.900000,0.999626
-1.850000,0.999626
-1.800000,0.990582
-1.750000,0.990582
-1.700000,0.980455
-1.650000,0.980455
-1.600000,0.980455
-1.550000,0.969038
-1.500000,0.969038
-1.450000,0.969038
-1.400000,0.956532
-1.350000,0.956532
-1.300000,0.943291
-1.250000,0.943291
-1.200000,0.929699
-1.150000,0.929699
-1.100000,0.916123
-1.050000,0.916123
-1.000000,0.907174
-0.950000,0.902835
-0.900000,0.894081
-0.850000,0.889701
-0.800000,0.880999
-0.750000,0.876700
-0.700000,0.868264
-0.650000,0.860125
-0.600000,0.856197
-0.550000,0.848683
-0.500000,0.845122
-0.450000,0.838446
-0.400000,0.832440
-0.350000,0.829715
-0.300000,0.824866
-0.250000,0.822760
-0.200000,0.819223
-0.150000,0.816628
-0.100000,0.815696
-0.050000,0.814583
0.000000,0.814405
0.050000,0.814812
0.100000,0.816231
0.150000,0.817314
0.200000,0.820208
0.250000,0.822009
0.300000,0.826286
0.350000,0.831412
0.400000,0.834273
0.450000,0.840538
0.500000,0.843922
0.550000,0.851139
0.600000,0.858874
0.650000,0.862907
0.700000,0.871241
0.750000,0.875518
0.800000,0.884233
0.850000,0.893082
0.900000,0.897527
0.950000,0.906398
1.000000,0.910788
1.050000,0.919827
1.100000,0.919827
1.150000,0.933506
1.200000,0.933506
1.250000,0.947162
1.300000,0.947162
1.350000,0.960432
1.400000,0.960432
1.450000,0.972943
1.500000,0.972943
1.550000,0.972943
1.600000,0.984352
1.650000,0.984352
1.700000,0.984352
1.750000,0.994454
1.800000,0.994454
1.850000,1.003411
1.900000,1.003411
1.950000,1.003411
2.000000,1.011878
2.050000,1.011878
2.100000,1.011878
2.150000,1.011878
2.200000,1.020406
2.250000,1.020406
2.300000,1.020406
2.350000,1.028223
2.400000,1.028223
2.450000,1.028223
2.500000,1.028223
2.550000,1.033523
2.600000,1.033523
2.650000,1.033523
2.700000,1.033523
2.750000,1.035667
2.800000,1.035667
2.850000,1.035667
2.900000,1.035667
2.950000,1.035835
3.000000,1.035835
