y_over_D,u_over_U
-3.000000,1.169999
-2.950000,1.170903
-2.900000,1.171858
-2.850000,1.172869
-2.800000,1.173915
-2.750000,1.175023
-2.700000,1.176173
-2.650000,1.177377
-2.600000,1.178624
-2.550000,1.179929
-2.500000,1.181282
-2.450000,1.182681
-2.400000,1.184132
-2.350000,1.185637
-2.300000,1.187189
-2.250000,1.188793
-2.200000,1.190435
-2.150000,1.192142
-2.100000,1.193894
-2.050000,1.195688
-2.000000,1.197533
-1.950000,1.199419
-1.900000,1.201350
-1.850000,1.203323
-1.800000,1.205332
-1.750000,1.207382
-1.700000,1.209459
-1.650000,1.211565
-1.600000,1.213687
-1.550000,1.215810
-1.500000,1.217888
-1.450000,1.219871
-1.400000,1.221592
-1.350000,1.222813
-1.300000,1.223139
-1.250000,1.221702
-1.200000,1.217701
-1.150000,1.209258
-1.100000,1.194757
-1.050000,1.172300
-1.000000,1.139015
-0.950000,1.094780
-0.900000,1.037762
-0.850000,0.969769
-0.800000,0.892666
-0.750000,0.808846
-0.700000,0.721760
-0.650000,0.633590
-0.600000,0.546326
-0.550000,0.461200
-0.500000,0.379634
-0.450000,0.302191
-0.400000,0.230418
-0.350000,0.164843
-0.300000,0.106198
-0.250000,0.055787
-0.200000,0.013244
-0.150000,-0.019924
-0.100000,-0.043966
-0.050000,-0.058564
0.000000,-0.062694
0.050000,-0.057456
0.100000,-0.041711
0.150000,-0.016433
0.200000,0.018107
0.250000,0.062222
0.300000,0.114420
0.350000,0.175114
0.400000,0.242956
0.450000,0.317152
0.500000,0.397037
0.550000,0.480895
0.600000,0.567923
0.650000,0.656500
0.700000,0.745233
0.750000,0.831936
0.800000,0.914516
0.850000,0.989501
0.900000,1.054744
0.950000,1.108627
1.000000,1.149628
1.050000,1.179842
1.100000,1.199632
1.150000,1.211940
1.200000,1.218681
1.250000,1.221447
1.300000,1.221978
1.350000,1.221026
1.400000,1.219355
1.450000,1.217308
1.500000,1.215091
1.550000,1.212826
1.600000,1.210571
1.650000,1.208354
1.700000,1.206173
1.750000,1.204054
1.800000,1.201984
1.850000,1.199965
1.900000,1.198002
1.950000,1.196090
2.000000,1.194239
2.050000,1.192437
2.100000,1.190691
2.150000,1.188999
2.200000,1.187359
2.250000,1.185774
2.300000,1.184240
2.350000,1.182762
2.400000,1.181330
2.450000,1.179952
2.500000,1.178625
2.550000,1.177345
2.600000,1.176123
2.650000,1.174942
2.700000,1.173815
2.750000,1.172731
2.800000,1.171696
2.850000,1.170711
2.900000,1.169768
2.950000,1.168880
3.000000,1.168023
