y_over_D,u_over_U
-3.000000,1.121879
-2.950000,1.121609
-2.900000,1.121311
-2.850000,1.121003
-2.800000,1.120666
-2.750000,1.120320
-2.700000,1.119941
-2.650000,1.119540
-2.600000,1.119117
-2.550000,1.118663
-2.500000,1.118183
-2.450000,1.117674
-2.400000,1.117138
-2.350000,1.116564
-2.300000,1.115959
-2.250000,1.115321
-2.200000,1.114642
-2.150000,1.113923
-2.100000,1.113154
-2.050000,1.112328
-2.000000,1.111424
-1.950000,1.110424
-1.900000,1.109256
-1.850000,1.107851
-1.800000,1.106101
-1.750000,1.103795
-1.700000,1.100808
-1.650000,1.096837
-1.600000,1.091748
-1.550000,1.085429
-1.500000,1.077742
-1.450000,1.068901
-1.400000,1.058902
-1.350000,1.047971
-1.300000,1.036201
-1.250000,1.023546
-1.200000,1.010046
-1.150000,0.995443
-1.100000,0.979634
-1.050000,0.962461
-1.000000,0.943632
-0.950000,0.923233
-0.900000,0.901009
-0.850000,0.877109
-0.800000,0.851606
-0.750000,0.824535
-0.700000,0.796252
-0.650000,0.766867
-0.600000,0.736770
-0.550000,0.706276
-0.500000,0.675781
-0.450000,0.645695
-0.400000,0.616569
-0.350000,0.588871
-0.300000,0.563096
-0.250000,0.540010
-0.200000,0.519794
-0.150000,0.503282
-0.100000,0.490592
-0.050000,0.481976
0.000000,0.477941
0.050000,0.478061
0.100000,0.482698
0.150000,0.491454
0.200000,0.504085
0.250000,0.520566
0.300000,0.540152
0.350000,0.562853
0.400000,0.588054
0.450000,0.615417
0.500000,0.644705
0.550000,0.675378
0.600000,0.707243
0.650000,0.739845
0.700000,0.772859
0.750000,0.805888
0.800000,0.838552
0.850000,0.870368
0.900000,0.900952
0.950000,0.929939
1.000000,0.956811
1.050000,0.981575
1.100000,1.003836
1.150000,1.023786
1.200000,1.041526
1.250000,1.057100
1.300000,1.070955
1.350000,1.083073
1.400000,1.093723
1.450000,1.102954
1.500000,1.110648
1.550000,1.116972
1.600000,1.121784
1.650000,1.125310
1.700000,1.127719
1.750000,1.129177
1.800000,1.130004
1.850000,1.130350
1.900000,1.130421
1.950000,1.130328
2.000000,1.130148
2.050000,1.129937
2.100000,1.129712
2.150000,1.129498
2.200000,1.129292
2.250000,1.129100
2.300000,1.128923
2.350000,1.128759
2.400000,1.128609
2.450000,1.128469
2.500000,1.128348
2.550000,1.128231
2.600000,1.128123
2.650000,1.128024
2.700000,1.127932
2.750000,1.127846
2.800000,1.127769
2.850000,1.127700
2.900000,1.127632
2.950000,1.127577
3.000000,1.127518
