NL,dX_m,CT,CP_press,CF_visc,CR,CR_ref,err_CR_pct
96,0.06225,4.276319e-03,4.193878e-03,8.244097e-05,-4.057015e-03,6.230000e-04,-751.21
128,0.04669,3.702806e-03,3.582316e-03,1.204897e-04,-4.630527e-03,6.230000e-04,-843.26
