t,x_front,tau,X
0.0014,0.143965,0.0156,0.9854
0.0266,0.153105,0.3078,1.0479
0.0528,0.180527,0.6119,1.2356
0.0752,0.207949,0.8718,1.4233
0.1013,0.244512,1.1734,1.6736
0.1257,0.281074,1.4565,1.9238
0.1515,0.326777,1.7559,2.2367
0.1753,0.367910,2.0314,2.5182
0.2010,0.418184,2.3287,2.8623
0.2263,0.473027,2.6226,3.2377
0.2506,0.523301,2.9038,3.5818
0.2751,0.578145,3.1884,3.9572
0.3000,0.582715,3.4769,3.9885
0.3251,0.582715,3.7669,3.9885
0.3500,0.582715,4.0561,3.9885
0.3752,0.582715,4.3479,3.9885
0.4001,0.582715,4.6371,3.9885
0.4250,0.582715,4.9253,3.9885
0.4500,0.582715,5.2148,3.9885
0.4752,0.582715,5.5067,3.9885
0.5000,0.582715,5.7942,3.9885
