t,x_front,tau,X
0.0027,0.141680,0.0313,0.9697
0.0533,0.169102,0.6178,1.1574
0.1061,0.233086,1.2290,1.5954
0.1547,0.306211,1.7933,2.0959
0.2005,0.379336,2.3233,2.5964
0.2522,0.461602,2.9230,3.1595
0.3026,0.553008,3.5070,3.7851
0.3505,0.580430,4.0612,3.9728
0.4007,0.580430,4.6436,3.9728
0.4503,0.580430,5.2179,3.9728
0.5004,0.580430,5.7987,3.9728
