t,x_front,tau,X
0.0027,0.141680,0.0313,0.9697
0.0286,0.150820,0.3314,1.0323
0.0533,0.169102,0.6172,1.1574
0.0785,0.196523,0.9097,1.3451
0.1045,0.233086,1.2111,1.5954
0.1272,0.260508,1.4736,1.7831
0.1525,0.287930,1.7671,1.9708
0.1757,0.324492,2.0366,2.2210
0.2021,0.361055,2.3425,2.4713
0.2278,0.406758,2.6399,2.7841
0.2532,0.443320,2.9339,3.0344
0.2776,0.489023,3.2169,3.3472
0.3014,0.525586,3.4925,3.5974
0.3259,0.562148,3.7771,3.8477
0.3502,0.580430,4.0580,3.9728
0.3758,0.580430,4.3554,3.9728
0.4001,0.580430,4.6366,3.9728
0.4266,0.580430,4.9442,3.9728
0.4501,0.580430,5.2158,3.9728
0.4763,0.580430,5.5200,3.9728
0.5006,0.580430,5.8012,3.9728
