t,x_front,tau,X
0.0014,0.143965,0.0156,0.9854
0.0288,0.153105,0.3340,1.0479
0.0515,0.171387,0.5962,1.1731
0.0751,0.194238,0.8697,1.3295
0.1007,0.226230,1.1664,1.5485
0.1251,0.258223,1.4497,1.7674
0.1516,0.294785,1.7564,2.0177
0.1759,0.335918,2.0387,2.2992
0.2012,0.377051,2.3313,2.5808
0.2258,0.418184,2.6164,2.8623
0.2511,0.459316,2.9097,3.1438
0.2758,0.495879,3.1962,3.3941
0.3011,0.532441,3.4893,3.6444
0.3260,0.573574,3.7783,3.9259
0.3502,0.582715,4.0582,3.9885
0.3750,0.582715,4.3460,3.9885
0.4003,0.582715,4.6386,3.9885
0.4253,0.582715,4.9285,3.9885
0.4500,0.582715,5.2149,3.9885
0.4753,0.582715,5.5075,3.9885
0.5003,0.582715,5.7976,3.9885
