t,x_front,tau,X
0.0014,0.143965,0.0156,0.9854
0.0536,0.185098,0.6207,1.2669
0.1004,0.249082,1.1635,1.7049
0.1516,0.335918,1.7571,2.2992
0.2010,0.441035,2.3294,3.0187
0.2511,0.555293,2.9103,3.8008
0.3002,0.582715,3.4793,3.9885
0.3506,0.582715,4.0625,3.9885
0.4000,0.582715,4.6359,3.9885
0.4512,0.582715,5.2284,3.9885
0.5004,0.582715,5.7991,3.9885
0.5502,0.582715,6.3765,3.9885
0.6001,0.582715,6.9541,3.9885
0.6501,0.582715,7.5339,3.9885
0.7001,0.582715,8.1134,3.9885
0.7501,0.582715,8.6925,3.9885
0.8001,0.582715,9.2718,3.9885
0.8501,0.582715,9.8516,3.9885
0.9001,0.582715,10.4310,3.9885
0.9502,0.582715,11.0110,3.9885
1.0000,0.582715,11.5885,3.9885
1.0501,0.582715,12.1684,3.9885
1.1001,0.582715,12.7484,3.9885
1.1501,0.582715,13.3275,3.9885
1.2002,0.582715,13.9081,3.9885
1.2503,0.582715,14.4886,3.9885
1.3002,0.582715,15.0676,3.9885
1.3501,0.582715,15.6451,3.9885
1.4001,0.582715,16.2250,3.9885
1.4501,0.582715,16.8038,3.9885
1.5000,0.582715,17.3826,3.9885
1.5500,0.582715,17.9621,3.9885
1.6001,0.582715,18.5432,3.9885
1.6501,0.582715,19.1217,3.9885
1.7001,0.582715,19.7012,3.9885
1.7500,0.582715,20.2802,3.9885
1.8000,0.582715,20.8596,3.9885
1.8501,0.582715,21.4392,3.9885
1.9001,0.582715,22.0186,3.9885
1.9500,0.582715,22.5974,3.9885
2.0000,0.582715,23.1769,3.9885
2.0500,0.582715,23.7563,3.9885
2.1000,0.582715,24.3358,3.9885
2.1500,0.582715,24.9152,3.9885
2.2000,0.349629,25.4947,2.3931
2.2500,0.239941,26.0743,1.6423
2.3000,0.130254,26.6535,0.8915
2.3500,0.555293,27.2334,3.8008
2.4000,0.000000,27.8123,0.0000
2.4500,0.000000,28.3922,0.0000
