Fr,drag,drag_press,drag_visc,C_T,C_P,C_V
0.15,12.140265020511318,-5.238163048393325,-0.0,0.033474995460968715,-0.014443464287849244,-0.0
0.2,27.210644898276502,28.71403646014423,-0.0,0.07502935174157124,0.07917473288642711,-0.0
0.25,45.52791971280284,44.201348776484,-0.0,0.12553654332574316,0.12187871905280515,-0.0
0.3,56.96577038734647,57.63800097254384,-0.0,0.15707473452393328,0.15892831150517606,-0.0
0.35,58.7022667348402,60.709767936846276,-0.0,0.16186286783503734,0.16739825717880408,-0.0
0.4,55.42128418919435,58.822768622864125,-0.0,0.1528160409628521,0.16219513407039743,-0.0
