t,y_c,v_c,circ,area_rel,mass_rel
0.0022,0.50000,0.00123,0.95533,1.000000,1.000000
0.0507,0.50074,0.02599,0.95885,1.000001,1.000000
0.1035,0.50283,0.05081,0.96635,1.000002,1.000000
0.1510,0.50581,0.07192,0.97350,1.000002,1.000000
0.2028,0.51016,0.09385,0.97857,1.000003,1.000000
0.2541,0.51558,0.11460,0.98130,1.000003,1.000000
0.3005,0.52135,0.13246,0.98312,1.000004,1.000000
0.3511,0.52858,0.15086,0.98448,1.000004,1.000000
0.4012,0.53662,0.16786,0.98491,1.000005,1.000000
0.4509,0.54540,0.18332,0.98496,1.000006,1.000000
0.5001,0.55482,0.19709,0.98529,1.000006,1.000000
0.5534,0.56572,0.21004,0.98447,1.000007,1.000000
0.6018,0.57618,0.21994,0.98378,1.000008,0.999999
0.6542,0.58798,0.22852,0.98231,1.000009,1.000000
0.7019,0.59907,0.23439,0.98009,1.000009,0.999999
0.7536,0.61135,0.23871,0.97668,1.000010,0.999999
0.8008,0.62271,0.24093,0.97190,1.000010,0.999999
0.8521,0.63513,0.24168,0.96402,1.000011,0.999999
0.9033,0.64752,0.24099,0.95334,1.000011,0.999999
0.9502,0.65882,0.23936,0.94237,1.000012,0.999999
1.0013,0.67103,0.23678,0.92941,1.000012,0.999999
1.0525,0.68312,0.23358,0.91494,1.000013,0.999999
1.1039,0.69505,0.23001,0.89967,1.000013,0.999999
1.1511,0.70586,0.22655,0.88520,1.000014,0.999999
1.2027,0.71749,0.22276,0.86952,1.000014,0.999999
1.2500,0.72798,0.21934,0.85555,1.000014,0.999999
1.3016,0.73922,0.21578,0.84079,1.000014,0.999999
1.3530,0.75025,0.21243,0.82553,1.000014,0.999999
1.4043,0.76110,0.20938,0.81118,1.000015,0.999999
1.4512,0.77090,0.20687,0.79816,1.000015,0.999999
1.5023,0.78144,0.20448,0.78488,1.000015,0.999999
1.5533,0.79185,0.20245,0.77259,1.000015,0.999999
1.6042,0.80215,0.20078,0.76000,1.000015,0.999999
1.6508,0.81150,0.19961,0.74917,1.000015,0.999999
1.7015,0.82163,0.19874,0.73851,1.000016,0.999999
1.7522,0.83172,0.19825,0.72802,1.000016,0.999999
1.8027,0.84177,0.19812,0.71826,1.000016,0.999999
1.8531,0.85180,0.19835,0.70926,1.000016,0.999999
1.9035,0.86184,0.19888,0.70063,1.000017,0.999999
1.9537,0.87189,0.19969,0.69251,1.000017,0.999999
2.0040,0.88198,0.20076,0.68507,1.000017,0.999999
2.0541,0.89212,0.20207,0.67806,1.000017,0.999999
2.1042,0.90232,0.20356,0.67134,1.000017,0.999999
2.1500,0.91173,0.20505,0.66560,1.000017,0.999999
2.2000,0.92207,0.20679,0.65987,1.000018,0.999999
2.2542,0.93337,0.20873,0.65530,1.000018,0.999999
2.3041,0.94388,0.21053,0.65100,1.000018,0.999999
2.3540,0.95448,0.21235,0.64618,1.000018,0.999998
2.4040,0.96518,0.21412,0.64186,1.000018,0.999999
2.4539,0.97596,0.21577,0.63857,1.000019,0.999998
2.5039,0.98683,0.21722,0.63658,1.000019,0.999999
2.5538,0.99776,0.21845,0.63613,1.000019,0.999999
2.6039,1.00876,0.21950,0.63625,1.000019,0.999999
2.6539,1.01981,0.22026,0.63568,1.000019,0.999998
2.7040,1.03089,0.22063,0.63591,1.000019,0.999999
2.7539,1.04194,0.22057,0.63584,1.000019,0.999998
2.8037,1.05295,0.21999,0.63848,1.000020,0.999999
2.8534,1.06391,0.21910,0.64206,1.000020,0.999998
2.9031,1.07482,0.21803,0.64782,1.000020,0.999999
2.9529,1.08567,0.21674,0.65318,1.000020,0.999998
3.0027,1.09649,0.21538,0.65729,1.000020,0.999998
