y_over_D,u_over_U
-3.000000,1.080905
-2.950000,1.081448
-2.900000,1.082018
-2.850000,1.082609
-2.800000,1.083202
-2.750000,1.083791
-2.700000,1.084379
-2.650000,1.084946
-2.600000,1.085465
-2.550000,1.085934
-2.500000,1.086322
-2.450000,1.086632
-2.400000,1.086840
-2.350000,1.086948
-2.300000,1.086970
-2.250000,1.086913
-2.200000,1.086799
-2.150000,1.086651
-2.100000,1.086458
-2.050000,1.086243
-2.000000,1.086000
-1.950000,1.085716
-1.900000,1.085348
-1.850000,1.084879
-1.800000,1.084270
-1.750000,1.083478
-1.700000,1.082455
-1.650000,1.081138
-1.600000,1.079469
-1.550000,1.077365
-1.500000,1.074720
-1.450000,1.071470
-1.400000,1.067468
-1.350000,1.062623
-1.300000,1.056807
-1.250000,1.049862
-1.200000,1.041735
-1.150000,1.032224
-1.100000,1.021272
-1.050000,1.008772
-1.000000,0.994593
-0.950000,0.978762
-0.900000,0.961165
-0.850000,0.941879
-0.800000,0.920961
-0.750000,0.898464
-0.700000,0.874618
-0.650000,0.849575
-0.600000,0.823635
-0.550000,0.797118
-0.500000,0.770390
-0.450000,0.743877
-0.400000,0.718067
-0.350000,0.693439
-0.300000,0.670512
-0.250000,0.649893
-0.200000,0.631970
-0.150000,0.617368
-0.100000,0.606393
-0.050000,0.599362
0.000000,0.596638
0.050000,0.598092
0.100000,0.603917
0.150000,0.613801
0.200000,0.627472
0.250000,0.644675
0.300000,0.664775
0.350000,0.687411
0.400000,0.711942
0.450000,0.737830
0.500000,0.764563
0.550000,0.791601
0.600000,0.818485
0.650000,0.844808
0.700000,0.870228
0.750000,0.894418
0.800000,0.917221
0.850000,0.938396
0.900000,0.957897
0.950000,0.975671
1.000000,0.991651
1.050000,1.005956
1.100000,1.018565
1.150000,1.029621
1.200000,1.039231
1.250000,1.047480
1.300000,1.054544
1.350000,1.060502
1.400000,1.065518
1.450000,1.069704
1.500000,1.073145
1.550000,1.075976
1.600000,1.078251
1.650000,1.080064
1.700000,1.081503
1.750000,1.082610
1.800000,1.083463
1.850000,1.084121
1.900000,1.084636
1.950000,1.085039
2.000000,1.085376
2.050000,1.085670
2.100000,1.085933
2.150000,1.086162
2.200000,1.086346
2.250000,1.086480
2.300000,1.086552
2.350000,1.086536
2.400000,1.086422
2.450000,1.086212
2.500000,1.085907
2.550000,1.085512
2.600000,1.085050
2.650000,1.084527
2.700000,1.083969
2.750000,1.083394
2.800000,1.082813
2.850000,1.082223
2.900000,1.081654
2.950000,1.081097
3.000000,1.080566
