y_over_D,u_over_U
-3.000000,1.163765
-2.950000,1.163803
-2.900000,1.163854
-2.850000,1.163888
-2.800000,1.163926
-2.750000,1.163959
-2.700000,1.163987
-2.650000,1.164016
-2.600000,1.164038
-2.550000,1.164055
-2.500000,1.164090
-2.450000,1.164114
-2.400000,1.164132
-2.350000,1.164146
-2.300000,1.164153
-2.250000,1.164149
-2.200000,1.164149
-2.150000,1.164142
-2.100000,1.164119
-2.050000,1.164085
-2.000000,1.164034
-1.950000,1.163943
-1.900000,1.163788
-1.850000,1.163523
-1.800000,1.163087
-1.750000,1.162372
-1.700000,1.161270
-1.650000,1.159580
-1.600000,1.157149
-1.550000,1.153775
-1.500000,1.149220
-1.450000,1.143348
-1.400000,1.135876
-1.350000,1.126637
-1.300000,1.115353
-1.250000,1.101626
-1.200000,1.085223
-1.150000,1.065638
-1.100000,1.042619
-1.050000,1.015897
-1.000000,0.985167
-0.950000,0.950608
-0.900000,0.912134
-0.850000,0.870161
-0.800000,0.825092
-0.750000,0.777370
-0.700000,0.727738
-0.650000,0.676776
-0.600000,0.625239
-0.550000,0.573832
-0.500000,0.523307
-0.450000,0.474329
-0.400000,0.427727
-0.350000,0.384153
-0.300000,0.344318
-0.250000,0.309092
-0.200000,0.278906
-0.150000,0.254667
-0.100000,0.236708
-0.050000,0.225435
0.000000,0.221362
0.050000,0.224228
0.100000,0.234337
0.150000,0.251216
0.200000,0.274494
0.250000,0.303873
0.300000,0.338460
0.350000,0.377848
0.400000,0.421164
0.450000,0.467692
0.500000,0.516771
0.550000,0.567540
0.600000,0.619318
0.650000,0.671312
0.700000,0.722788
0.750000,0.772972
0.800000,0.821247
0.850000,0.866858
0.900000,0.909350
0.950000,0.948299
1.000000,0.983293
1.050000,1.014401
1.100000,1.041439
1.150000,1.064714
1.200000,1.084493
1.250000,1.101009
1.300000,1.114798
1.350000,1.126087
1.400000,1.135300
1.450000,1.142706
1.500000,1.148507
1.550000,1.152997
1.600000,1.156314
1.650000,1.158719
1.700000,1.160397
1.750000,1.161517
1.800000,1.162268
1.850000,1.162743
1.900000,1.163057
1.950000,1.163268
2.000000,1.163415
2.050000,1.163519
2.100000,1.163602
2.150000,1.163659
2.200000,1.163708
2.250000,1.163744
2.300000,1.163776
2.350000,1.163800
2.400000,1.163819
2.450000,1.163819
2.500000,1.163833
2.550000,1.163828
2.600000,1.163827
2.650000,1.163817
2.700000,1.163796
2.750000,1.163789
2.800000,1.163771
2.850000,1.163748
2.900000,1.163726
2.950000,1.163706
3.000000,1.163684
