y_over_D,u_over_U
-3.000000,1.127750
-2.950000,1.127578
-2.900000,1.127379
-2.850000,1.127173
-2.800000,1.126949
-2.750000,1.126713
-2.700000,1.126456
-2.650000,1.126185
-2.600000,1.125897
-2.550000,1.125588
-2.500000,1.125257
-2.450000,1.124908
-2.400000,1.124531
-2.350000,1.124136
-2.300000,1.123707
-2.250000,1.123257
-2.200000,1.122777
-2.150000,1.122261
-2.100000,1.121709
-2.050000,1.121108
-2.000000,1.120436
-1.950000,1.119679
-1.900000,1.118768
-1.850000,1.117629
-1.800000,1.116161
-1.750000,1.114149
-1.700000,1.111463
-1.650000,1.107787
-1.600000,1.102972
-1.550000,1.096877
-1.500000,1.089327
-1.450000,1.080493
-1.400000,1.070303
-1.350000,1.058957
-1.300000,1.046492
-1.250000,1.032781
-1.200000,1.017862
-1.150000,1.001389
-1.100000,0.983263
-1.050000,0.963305
-1.000000,0.941197
-0.950000,0.917107
-0.900000,0.890794
-0.850000,0.862521
-0.800000,0.832461
-0.750000,0.800780
-0.700000,0.767981
-0.650000,0.734363
-0.600000,0.700475
-0.550000,0.666791
-0.500000,0.633929
-0.450000,0.602317
-0.400000,0.572681
-0.350000,0.545424
-0.300000,0.520990
-0.250000,0.500103
-0.200000,0.482726
-0.150000,0.469627
-0.100000,0.460728
-0.050000,0.456151
0.000000,0.456298
0.050000,0.460580
0.100000,0.469371
0.150000,0.482090
0.200000,0.498462
0.250000,0.518397
0.300000,0.541152
0.350000,0.566683
0.400000,0.594390
0.450000,0.623929
0.500000,0.655038
0.550000,0.687199
0.600000,0.720161
0.650000,0.753472
0.700000,0.786780
0.750000,0.819634
0.800000,0.851708
0.850000,0.882492
0.900000,0.911701
0.950000,0.939053
1.000000,0.964147
1.050000,0.987118
1.100000,1.007686
1.150000,1.026124
1.200000,1.042591
1.250000,1.057168
1.300000,1.070267
1.350000,1.081875
1.400000,1.092197
1.450000,1.101243
1.500000,1.108866
1.550000,1.115204
1.600000,1.120099
1.650000,1.123757
1.700000,1.126339
1.750000,1.128004
1.800000,1.129052
1.850000,1.129635
1.900000,1.129939
1.950000,1.130077
2.000000,1.130117
2.050000,1.130117
2.100000,1.130094
2.150000,1.130065
2.200000,1.130040
2.250000,1.130014
2.300000,1.129996
2.350000,1.129981
2.400000,1.129972
2.450000,1.129967
2.500000,1.129966
2.550000,1.129968
2.600000,1.129971
2.650000,1.129969
2.700000,1.129974
2.750000,1.129981
2.800000,1.129991
2.850000,1.130002
2.900000,1.130012
2.950000,1.130018
3.000000,1.130031
