J,CT,thrust,drag_avg,T-D
0.25,21.98380239607235,198.90475806375534,143.50346702737707,55.40129103637827
0.3,15.35843320152646,138.95982983970748,130.7550786506453,8.204751189062193
0.35,11.349775991913125,102.69035388312217,121.53604880895081,-18.84569492582864
0.4,8.73908351481532,79.06936483944428,114.47263006321782,-35.403265223773545
0.5,5.654066666239958,51.1567899885112,104.54324945811915,-53.38645946960795
0.7,2.9425511526703456,26.623575602039054,93.33725854431474,-66.71368294227568
1.0,1.4788671368546964,13.38047462240089,85.93165830710949,-72.5511836847086
