y_over_delta,u_over_Ubar
-0.9688,0.083262
-0.9062,0.332117
-0.8438,0.528812
-0.7812,0.693512
-0.7188,0.838208
-0.6562,0.968310
-0.5938,1.085822
-0.5312,1.191375
-0.4688,1.285145
-0.4062,1.367175
-0.3438,1.437453
-0.2812,1.495949
-0.2188,1.542627
-0.1562,1.577551
-0.0938,1.600970
-0.0312,1.612722
0.0312,1.612723
0.0938,1.600966
0.1562,1.577547
0.2188,1.542624
0.2812,1.495947
0.3438,1.437451
0.4062,1.367174
0.4688,1.285144
0.5312,1.191374
0.5938,1.085822
0.6562,0.968310
0.7188,0.838208
0.7812,0.693514
0.8438,0.528817
0.9062,0.332132
0.9688,0.083265
