theta_analytic,Cp_analytic,theta_panel,Cp_panel
0.000000,0.000000,0.008727,-0.035288
0.017453,-0.071028,0.026180,-0.107529
0.034907,-0.144470,0.043633,-0.182171
0.052360,-0.220300,0.061087,-0.259187
0.069813,-0.298490,0.078540,-0.338548
0.087266,-0.379007,0.095993,-0.420219
0.104720,-0.461819,0.113446,-0.504166
0.122173,-0.546886,0.130900,-0.590349
0.139626,-0.634169,0.148353,-0.678727
0.157080,-0.723625,0.165806,-0.769255
0.174533,-0.815207,0.183260,-0.861885
0.191986,-0.908868,0.200713,-0.956569
0.209440,-1.004556,0.218166,-1.053252
0.226893,-1.102216,0.235619,-1.151880
0.244346,-1.201792,0.253073,-1.252395
0.261799,-1.303225,0.270526,-1.354736
0.279253,-1.406453,0.287979,-1.458840
0.296706,-1.511412,0.305433,-1.564641
0.314159,-1.618034,0.322886,-1.672072
0.331613,-1.726251,0.340339,-1.781063
0.349066,-1.835992,0.357792,-1.891540
0.366519,-1.947182,0.375246,-2.003429
0.383972,-2.059747,0.392699,-2.116655
0.401426,-2.173608,0.410152,-2.231136
0.418879,-2.288685,0.427606,-2.346794
0.436332,-2.404898,0.445059,-2.463545
0.453786,-2.522162,0.462512,-2.581305
0.471239,-2.640391,0.479966,-2.699988
0.488692,-2.759500,0.497419,-2.819506
0.506145,-2.879400,0.514872,-2.939769
0.523599,-3.000000,0.532325,-3.060688
0.541052,-3.121209,0.549779,-3.182169
0.558505,-3.242935,0.567232,-3.304120
0.575959,-3.365083,0.584685,-3.426446
0.593412,-3.487558,0.602139,-3.549051
0.610865,-3.610265,0.619592,-3.671840
0.628319,-3.733107,0.637045,-3.794714
0.645772,-3.855985,0.654498,-3.917577
0.663225,-3.978802,0.671952,-4.040327
0.680678,-4.101458,0.689405,-4.162868
0.698132,-4.223854,0.706858,-4.285098
0.715585,-4.345890,0.724312,-4.406919
0.733038,-4.467465,0.741765,-4.528228
0.750492,-4.588480,0.759218,-4.648927
0.767945,-4.708834,0.776672,-4.768915
0.785398,-4.828427,0.794125,-4.888091
0.802851,-4.947158,0.811578,-5.006356
0.820305,-5.064928,0.829031,-5.123609
0.837758,-5.181636,0.846485,-5.239752
0.855211,-5.297185,0.863938,-5.354685
0.872665,-5.411474,0.881391,-5.468310
0.890118,-5.524407,0.898845,-5.580530
0.907571,-5.635887,0.916298,-5.691248
0.925025,-5.745817,0.933751,-5.800369
0.942478,-5.854102,0.951204,-5.907799
0.959931,-5.960648,0.968658,-6.013442
0.977384,-6.065363,0.986111,-6.117209
0.994838,-6.168156,1.003564,-6.219007
1.012291,-6.268935,1.021018,-6.318748
1.029744,-6.367612,1.038471,-6.416343
1.047198,-6.464102,1.055924,-6.511708
1.064651,-6.558317,1.073377,-6.604757
1.082104,-6.650176,1.090831,-6.695407
1.099557,-6.739597,1.108284,-6.783580
1.117011,-6.826499,1.125737,-6.869196
1.134464,-6.910806,1.143191,-6.952178
1.151917,-6.992443,1.160644,-7.032453
1.169371,-7.071336,1.178097,-7.109949
1.186824,-7.147415,1.195551,-7.184596
1.204277,-7.220611,1.213004,-7.256327
1.221730,-7.290859,1.230457,-7.325078
1.239184,-7.358096,1.247910,-7.390786
1.256637,-7.422260,1.265364,-7.453393
1.274090,-7.483294,1.282817,-7.512842
1.291544,-7.541143,1.300270,-7.569079
1.308997,-7.595754,1.317724,-7.622054
1.326450,-7.647078,1.335177,-7.671717
1.343904,-7.695068,1.352630,-7.718024
1.361357,-7.739681,1.370083,-7.760934
1.378810,-7.780876,1.387537,-7.800406
1.396263,-7.818616,1.404990,-7.836406
1.413717,-7.852866,1.422443,-7.868900
1.431170,-7.883596,1.439897,-7.897858
1.448623,-7.910776,1.457350,-7.923255
1.466077,-7.934383,1.474803,-7.945067
1.483530,-7.954394,1.492257,-7.963274
1.500983,-7.970792,1.509710,-7.977860
1.518436,-7.983562,1.527163,-7.988811
1.535890,-7.992691,1.544616,-7.996117
1.553343,-7.998172,1.562070,-7.999772
1.570796,-8.000000,1.579523,-7.999772
1.588250,-7.998172,1.596976,-7.996117
1.605703,-7.992691,1.614430,-7.988811
1.623156,-7.983562,1.631883,-7.977860
1.640609,-7.970792,1.649336,-7.963274
1.658063,-7.954394,1.666789,-7.945067
1.675516,-7.934383,1.684243,-7.923255
1.692969,-7.910776,1.701696,-7.897858
1.710423,-7.883596,1.719149,-7.868900
1.727876,-7.852866,1.736603,-7.836406
1.745329,-7.818616,1.754056,-7.800406
1.762783,-7.780876,1.771509,-7.760934
1.780236,-7.739681,1.788962,-7.718024
1.797689,-7.695068,1.806416,-7.671717
1.815142,-7.647078,1.823869,-7.622054
1.832596,-7.595754,1.841322,-7.569079
1.850049,-7.541143,1.858776,-7.512842
1.867502,-7.483294,1.876229,-7.453393
1.884956,-7.422260,1.893682,-7.390786
1.902409,-7.358096,1.911136,-7.325078
1.919862,-7.290859,1.928589,-7.256327
1.937315,-7.220611,1.946042,-7.184596
1.954769,-7.147415,1.963495,-7.109949
1.972222,-7.071336,1.980949,-7.032453
1.989675,-6.992443,1.998402,-6.952178
2.007129,-6.910806,2.015855,-6.869196
2.024582,-6.826499,2.033309,-6.783580
2.042035,-6.739597,2.050762,-6.695407
2.059489,-6.650176,2.068215,-6.604757
2.076942,-6.558317,2.085668,-6.511708
2.094395,-6.464102,2.103122,-6.416343
2.111848,-6.367612,2.120575,-6.318748
2.129302,-6.268935,2.138028,-6.219007
2.146755,-6.168156,2.155482,-6.117209
2.164208,-6.065363,2.172935,-6.013442
2.181662,-5.960648,2.190388,-5.907799
2.199115,-5.854102,2.207842,-5.800369
2.216568,-5.745817,2.225295,-5.691248
2.234021,-5.635887,2.242748,-5.580530
2.251475,-5.524407,2.260201,-5.468310
2.268928,-5.411474,2.277655,-5.354685
2.286381,-5.297185,2.295108,-5.239752
2.303835,-5.181636,2.312561,-5.123609
2.321288,-5.064928,2.330015,-5.006356
2.338741,-4.947158,2.347468,-4.888091
2.356194,-4.828427,2.364921,-4.768915
2.373648,-4.708834,2.382374,-4.648927
2.391101,-4.588480,2.399828,-4.528228
2.408554,-4.467465,2.417281,-4.406919
2.426008,-4.345890,2.434734,-4.285098
2.443461,-4.223854,2.452188,-4.162868
2.460914,-4.101458,2.469641,-4.040327
2.478368,-3.978802,2.487094,-3.917577
2.495821,-3.855985,2.504547,-3.794714
2.513274,-3.733107,2.522001,-3.671840
2.530727,-3.610265,2.539454,-3.549051
2.548181,-3.487558,2.556907,-3.426446
2.565634,-3.365083,2.574361,-3.304120
2.583087,-3.242935,2.591814,-3.182169
2.600541,-3.121209,2.609267,-3.060688
2.617994,-3.000000,2.626721,-2.939769
2.635447,-2.879400,2.644174,-2.819506
2.652900,-2.759500,2.661627,-2.699988
2.670354,-2.640391,2.679080,-2.581305
2.687807,-2.522162,2.696534,-2.463545
2.705260,-2.404898,2.713987,-2.346794
2.722714,-2.288685,2.731440,-2.231136
2.740167,-2.173608,2.748894,-2.116655
2.757620,-2.059747,2.766347,-2.003429
2.775074,-1.947182,2.783800,-1.891540
2.792527,-1.835992,2.801253,-1.781063
2.809980,-1.726251,2.818707,-1.672072
2.827433,-1.618034,2.836160,-1.564641
2.844887,-1.511412,2.853613,-1.458840
2.862340,-1.406453,2.871067,-1.354736
2.879793,-1.303225,2.888520,-1.252395
2.897247,-1.201792,2.905973,-1.151880
2.914700,-1.102216,2.923426,-1.053252
2.932153,-1.004556,2.940880,-0.956569
2.949606,-0.908868,2.958333,-0.861885
2.967060,-0.815207,2.975786,-0.769255
2.984513,-0.723625,2.993240,-0.678727
3.001966,-0.634169,3.010693,-0.590349
3.019420,-0.546886,3.028146,-0.504166
3.036873,-0.461819,3.045600,-0.420219
3.054326,-0.379007,3.063053,-0.338548
3.071779,-0.298490,3.080506,-0.259187
3.089233,-0.220300,3.097959,-0.182171
3.106686,-0.144470,3.115413,-0.107529
3.124139,-0.071028,3.132866,-0.035288
3.141593,-0.000000,-3.132866,0.034527
3.159046,0.068591,-3.115413,0.101895
3.176499,0.134726,-3.097959,0.166797
3.193953,0.198388,-3.080506,0.229220
3.211406,0.259562,-3.063053,0.289149
3.228859,0.318238,-3.045600,0.346576
3.246312,0.374409,-3.028146,0.401494
3.263766,0.428069,-3.010693,0.453900
3.281219,0.479216,-2.993240,0.503794
3.298672,0.527851,-2.975786,0.551177
3.316126,0.573978,-2.958333,0.596055
3.333579,0.617604,-2.940880,0.638436
3.351032,0.658738,-2.923426,0.678331
3.368485,0.697392,-2.905973,0.715754
3.385939,0.733583,-2.888520,0.750721
3.403392,0.767327,-2.871067,0.783253
3.420845,0.798646,-2.853613,0.813370
3.438299,0.827562,-2.836160,0.841097
3.455752,0.854102,-2.818707,0.866462
3.473205,0.878294,-2.801253,0.889494
3.490659,0.900169,-2.783800,0.910226
3.508112,0.919761,-2.766347,0.928692
3.525565,0.937106,-2.748894,0.944929
3.543018,0.952241,-2.731440,0.958978
3.560472,0.965208,-2.713987,0.970878
3.577925,0.976048,-2.696534,0.980675
3.595378,0.984808,-2.679080,0.988413
3.612832,0.991533,-2.661627,0.994141
3.630285,0.996272,-2.644174,0.997910
3.647738,0.999077,-2.626721,0.999769
3.665191,1.000000,-2.609267,0.999774
3.682645,0.999095,-2.591814,0.997979
3.700098,0.996419,-2.574361,0.994441
3.717551,0.992029,-2.556907,0.989218
3.735005,0.985985,-2.539454,0.982371
3.752458,0.978346,-2.522001,0.973960
3.769911,0.969175,-2.504547,0.964049
3.787364,0.958535,-2.487094,0.952700
3.804818,0.946490,-2.469641,0.939979
3.822271,0.933105,-2.452188,0.925952
3.839724,0.918447,-2.434734,0.910684
3.857178,0.902582,-2.417281,0.894244
3.874631,0.885579,-2.399828,0.876699
3.892084,0.867506,-2.382374,0.858119
3.909538,0.848432,-2.364921,0.838572
3.926991,0.828427,-2.347468,0.818129
3.944444,0.807560,-2.330015,0.796860
3.961897,0.785902,-2.312561,0.774834
3.979351,0.763522,-2.295108,0.752122
3.996804,0.740492,-2.277655,0.728795
4.014257,0.716881,-2.260201,0.704922
4.031711,0.692760,-2.242748,0.680574
4.049164,0.668199,-2.225295,0.655820
4.066617,0.643267,-2.207842,0.630730
4.084070,0.618034,-2.190388,0.605374
4.101524,0.592568,-2.172935,0.579818
4.118977,0.566937,-2.155482,0.554132
4.136430,0.541209,-2.138028,0.528382
4.153884,0.515450,-2.120575,0.502633
4.171337,0.489726,-2.103122,0.476952
4.188790,0.464102,-2.085668,0.451403
4.206243,0.438640,-2.068215,0.426048
4.223697,0.413405,-2.050762,0.400949
4.241150,0.388456,-2.033309,0.376168
4.258603,0.363853,-2.015855,0.351762
4.276057,0.339656,-1.998402,0.327789
4.293510,0.315921,-1.980949,0.304307
4.310963,0.292703,-1.963495,0.281369
4.328417,0.270056,-1.946042,0.259028
4.345870,0.248032,-1.928589,0.237336
4.363323,0.226682,-1.911136,0.216341
4.380776,0.206053,-1.893682,0.196092
4.398230,0.186192,-1.876229,0.176633
4.415683,0.167144,-1.858776,0.158008
4.433136,0.148951,-1.841322,0.140258
4.450590,0.131652,-1.823869,0.123422
4.468043,0.115288,-1.806416,0.107539
4.485496,0.099892,-1.788962,0.092641
4.502949,0.085499,-1.771509,0.078762
4.520403,0.072141,-1.754056,0.065932
4.537856,0.059846,-1.736603,0.054179
4.555309,0.048640,-1.719149,0.043528
4.572763,0.038549,-1.701696,0.034003
4.590216,0.029593,-1.684243,0.025622
4.607669,0.021792,-1.666789,0.018406
4.625123,0.015163,-1.649336,0.012368
4.642576,0.009720,-1.631883,0.007523
4.660029,0.005474,-1.614430,0.003880
4.677482,0.002435,-1.596976,0.001446
4.694936,0.000609,-1.579523,0.000228
4.712389,0.000000,-1.562070,0.000228
4.729842,0.000609,-1.544616,0.001446
4.747296,0.002435,-1.527163,0.003880
4.764749,0.005474,-1.509710,0.007523
4.782202,0.009720,-1.492257,0.012368
4.799655,0.015163,-1.474803,0.018406
4.817109,0.021792,-1.457350,0.025622
4.834562,0.029593,-1.439897,0.034003
4.852015,0.038549,-1.422443,0.043528
4.869469,0.048640,-1.404990,0.054179
4.886922,0.059846,-1.387537,0.065932
4.904375,0.072141,-1.370083,0.078762
4.921828,0.085499,-1.352630,0.092641
4.939282,0.099892,-1.335177,0.107539
4.956735,0.115288,-1.317724,0.123422
4.974188,0.131652,-1.300270,0.140258
4.991642,0.148951,-1.282817,0.158008
5.009095,0.167144,-1.265364,0.176633
5.026548,0.186192,-1.247910,0.196092
5.044002,0.206053,-1.230457,0.216341
5.061455,0.226682,-1.213004,0.237336
5.078908,0.248032,-1.195551,0.259028
5.096361,0.270056,-1.178097,0.281369
5.113815,0.292703,-1.160644,0.304307
5.131268,0.315921,-1.143191,0.327789
5.148721,0.339656,-1.125737,0.351762
5.166175,0.363853,-1.108284,0.376168
5.183628,0.388456,-1.090831,0.400949
5.201081,0.413405,-1.073377,0.426048
5.218534,0.438640,-1.055924,0.451403
5.235988,0.464102,-1.038471,0.476952
5.253441,0.489726,-1.021018,0.502633
5.270894,0.515450,-1.003564,0.528382
5.288348,0.541209,-0.986111,0.554132
5.305801,0.566937,-0.968658,0.579818
5.323254,0.592568,-0.951204,0.605374
5.340708,0.618034,-0.933751,0.630730
5.358161,0.643267,-0.916298,0.655820
5.375614,0.668199,-0.898845,0.680574
5.393067,0.692760,-0.881391,0.704922
5.410521,0.716881,-0.863938,0.728795
5.427974,0.740492,-0.846485,0.752122
5.445427,0.763522,-0.829031,0.774834
5.462881,0.785902,-0.811578,0.796860
5.480334,0.807560,-0.794125,0.818129
5.497787,0.828427,-0.776672,0.838572
5.515240,0.848432,-0.759218,0.858119
5.532694,0.867506,-0.741765,0.876699
5.550147,0.885579,-0.724312,0.894244
5.567600,0.902582,-0.706858,0.910684
5.585054,0.918447,-0.689405,0.925952
5.602507,0.933105,-0.671952,0.939979
5.619960,0.946490,-0.654498,0.952700
5.637413,0.958535,-0.637045,0.964049
5.654867,0.969175,-0.619592,0.973960
5.672320,0.978346,-0.602139,0.982371
5.689773,0.985985,-0.584685,0.989218
5.707227,0.992029,-0.567232,0.994441
5.724680,0.996419,-0.549779,0.997979
5.742133,0.999095,-0.532325,0.999774
5.759587,1.000000,-0.514872,0.999769
5.777040,0.999077,-0.497419,0.997910
5.794493,0.996272,-0.479966,0.994141
5.811946,0.991533,-0.462512,0.988413
5.829400,0.984808,-0.445059,0.980675
5.846853,0.976048,-0.427606,0.970878
5.864306,0.965208,-0.410152,0.958978
5.881760,0.952241,-0.392699,0.944929
5.899213,0.937106,-0.375246,0.928692
5.916666,0.919761,-0.357792,0.910226
5.934119,0.900169,-0.340339,0.889494
5.951573,0.878294,-0.322886,0.866462
5.969026,0.854102,-0.305433,0.841097
5.986479,0.827562,-0.287979,0.813370
6.003933,0.798646,-0.270526,0.783253
6.021386,0.767327,-0.253073,0.750721
6.038839,0.733583,-0.235619,0.715754
6.056293,0.697392,-0.218166,0.678331
6.073746,0.658738,-0.200713,0.638436
6.091199,0.617604,-0.183260,0.596055
6.108652,0.573978,-0.165806,0.551177
6.126106,0.527851,-0.148353,0.503794
6.143559,0.479216,-0.130900,0.453900
6.161012,0.428069,-0.113446,0.401494
6.178466,0.374409,-0.095993,0.346576
6.195919,0.318238,-0.078540,0.289149
6.213372,0.259562,-0.061087,0.229220
6.230825,0.198388,-0.043633,0.166797
6.248279,0.134726,-0.026180,0.101895
6.265732,0.068591,-0.008727,0.034527
