theta_analytic,Cp_analytic,theta_panel,Cp_panel
3.228859,0.893927,-3.045600,0.904934
3.246312,0.915352,-3.028146,0.925136
3.263766,0.934330,-3.010693,0.942895
3.281219,0.950870,-2.993240,0.958221
3.298672,0.964982,-2.975786,0.971126
3.316126,0.976682,-2.958333,0.981627
3.333579,0.985986,-2.940880,0.989742
3.351032,0.992914,-2.923426,0.995492
3.368485,0.997490,-2.905973,0.998903
3.385939,0.999739,-2.888520,0.999999
3.403392,0.999689,-2.871067,0.998813
3.420845,0.997371,-2.853613,0.995374
3.438299,0.992819,-2.836160,0.989720
3.455752,0.986068,-2.818707,0.981885
3.473205,0.977158,-2.801253,0.971912
3.490659,0.966129,-2.783800,0.959842
3.508112,0.953026,-2.766347,0.945719
3.525565,0.937893,-2.748894,0.929591
3.543018,0.920779,-2.731440,0.911506
3.560472,0.901734,-2.713987,0.891517
3.577925,0.880812,-2.696534,0.869677
3.595378,0.858065,-2.679080,0.846041
3.612832,0.833552,-2.661627,0.820666
3.630285,0.807329,-2.644174,0.793613
3.647738,0.779458,-2.626721,0.764942
3.665191,0.750000,-2.609267,0.734716
3.682645,0.719019,-2.591814,0.702999
3.700098,0.686581,-2.574361,0.669858
3.717551,0.652751,-2.556907,0.635359
3.735005,0.617599,-2.539454,0.599572
3.752458,0.581193,-2.522001,0.562567
3.769911,0.543604,-2.504547,0.524415
3.787364,0.504905,-2.487094,0.485188
3.804818,0.465167,-2.469641,0.444960
3.822271,0.424464,-2.452188,0.403804
3.839724,0.382872,-2.434734,0.361795
3.857178,0.340464,-2.417281,0.319010
3.874631,0.297318,-2.399828,0.275524
3.892084,0.253510,-2.382374,0.231414
3.909538,0.209116,-2.364921,0.186758
3.926991,0.164214,-2.347468,0.141631
3.944444,0.118881,-2.330015,0.096113
3.961897,0.073194,-2.312561,0.050280
3.979351,0.027233,-2.295108,0.004211
3.996804,-0.018927,-2.277655,-0.042018
4.014257,-0.065207,-2.260201,-0.088329
4.031711,-0.111531,-2.242748,-0.134645
4.049164,-0.157822,-2.225295,-0.180890
4.066617,-0.204004,-2.207842,-0.226988
4.084070,-0.250000,-2.190388,-0.272862
4.101524,-0.295736,-2.172935,-0.318440
4.118977,-0.341138,-2.155482,-0.363646
4.136430,-0.386132,-2.138028,-0.408408
4.153884,-0.430646,-2.120575,-0.452655
4.171337,-0.474609,-2.103122,-0.496314
4.188790,-0.517949,-2.085668,-0.539318
4.206243,-0.560599,-2.068215,-0.581596
4.223697,-0.602491,-2.050762,-0.623083
4.241150,-0.643557,-2.033309,-0.663712
4.258603,-0.683735,-2.015855,-0.703421
4.276057,-0.722960,-1.998402,-0.742145
4.293510,-0.761170,-1.980949,-0.779826
4.310963,-0.798307,-1.963495,-0.816403
4.328417,-0.834312,-1.946042,-0.851820
4.345870,-0.869129,-1.928589,-0.886022
4.363323,-0.902704,-1.911136,-0.918956
4.380776,-0.934984,-1.893682,-0.950571
4.398230,-0.965921,-1.876229,-0.980817
4.415683,-0.995466,-1.858776,-1.009648
4.433136,-1.023573,-1.841322,-1.037019
4.450590,-1.050199,-1.823869,-1.062889
4.468043,-1.075304,-1.806416,-1.087218
4.485496,-1.098848,-1.788962,-1.109968
4.502949,-1.120796,-1.771509,-1.131105
4.520403,-1.141113,-1.754056,-1.150595
4.537856,-1.159770,-1.736603,-1.168410
4.555309,-1.176736,-1.719149,-1.184522
4.572763,-1.191987,-1.701696,-1.198905
4.590216,-1.205499,-1.684243,-1.211540
4.607669,-1.217251,-1.666789,-1.222405
4.625123,-1.227226,-1.649336,-1.231485
4.642576,-1.235408,-1.631883,-1.238766
4.660029,-1.241785,-1.614430,-1.244236
4.677482,-1.246346,-1.596976,-1.247887
4.694936,-1.249086,-1.579523,-1.249714
4.712389,-1.250000,-1.562070,-1.249714
4.729842,-1.249086,-1.544616,-1.247887
4.747296,-1.246346,-1.527163,-1.244236
4.764749,-1.241785,-1.509710,-1.238766
4.782202,-1.235408,-1.492257,-1.231485
4.799655,-1.227226,-1.474803,-1.222405
4.817109,-1.217251,-1.457350,-1.211540
4.834562,-1.205499,-1.439897,-1.198905
4.852015,-1.191987,-1.422443,-1.184522
4.869469,-1.176736,-1.404990,-1.168410
4.886922,-1.159770,-1.387537,-1.150595
4.904375,-1.141113,-1.370083,-1.131105
4.921828,-1.120796,-1.352630,-1.109968
4.939282,-1.098848,-1.335177,-1.087218
4.956735,-1.075304,-1.317724,-1.062889
4.974188,-1.050199,-1.300270,-1.037019
4.991642,-1.023573,-1.282817,-1.009648
5.009095,-0.995466,-1.265364,-0.980817
5.026548,-0.965921,-1.247910,-0.950571
5.044002,-0.934984,-1.230457,-0.918956
5.061455,-0.902704,-1.213004,-0.886022
5.078908,-0.869129,-1.195551,-0.851820
5.096361,-0.834312,-1.178097,-0.816403
