C_T,thrust,drag_avg,T-D
0.0,0.0,52.99959838237974,-52.99959838237974
0.1,0.9047786842338607,54.254138619236755,-53.349359935002894
0.2,1.8095573684677213,55.288452468243456,-53.478895099775734
0.3,2.7143360527015816,56.1627324134975,-53.44839636079592
0.5,4.523893421169303,57.67167379892217,-53.147780377752866
0.8,7.238229473870885,59.1272386202098,-51.889009146338914
1.2,10.857344210806327,59.48499248516958,-48.62764827436325
