rR,axial_excess,swirl
0.0219,2.01229e-02,0.00000e+00
0.0656,NaN,NaN
0.1094,1.94501e-02,4.47561e-02
0.1531,1.97270e-02,5.44540e-02
0.1969,2.31576e-02,6.04289e-02
0.2406,3.09550e-02,7.12032e-02
0.2844,5.60136e-02,1.04036e-01
0.3281,6.52970e-02,1.17218e-01
0.3719,8.37458e-02,1.33569e-01
0.4156,1.04354e-01,1.49492e-01
0.4594,1.17528e-01,1.55728e-01
0.5031,1.35635e-01,1.58389e-01
0.5469,1.45457e-01,1.55083e-01
0.5906,1.51480e-01,1.47745e-01
0.6344,1.51828e-01,1.38091e-01
0.6781,1.49877e-01,1.27523e-01
0.7219,1.39614e-01,1.11449e-01
0.7656,1.14457e-01,8.83974e-02
0.8094,8.98239e-02,7.02292e-02
0.8531,5.49475e-02,5.02936e-02
0.8969,2.01894e-02,2.95197e-02
0.9406,-2.00385e-03,1.94918e-02
0.9844,-9.22516e-03,6.78062e-03
1.0281,-9.62180e-03,2.23250e-03
