rR,axial_excess,swirl
0.0219,2.60734e-01,0.00000e+00
0.0656,NaN,NaN
0.1094,2.56666e-01,1.24976e-01
0.1531,2.57676e-01,1.68268e-01
0.1969,2.85634e-01,2.33403e-01
0.2406,3.07619e-01,2.68853e-01
0.2844,4.00134e-01,3.85723e-01
0.3281,4.37076e-01,4.29168e-01
0.3719,5.11411e-01,4.92437e-01
0.4156,6.02627e-01,5.52089e-01
0.4594,6.71888e-01,5.81789e-01
0.5031,7.78079e-01,6.09428e-01
0.5469,8.65844e-01,6.15624e-01
0.5906,9.44745e-01,6.05964e-01
0.6344,1.00141e+00,5.93113e-01
0.6781,1.01984e+00,5.76106e-01
0.7219,1.04657e+00,5.34163e-01
0.7656,1.00799e+00,4.70248e-01
0.8094,9.11991e-01,3.99778e-01
0.8531,7.38638e-01,3.25419e-01
0.8969,4.18401e-01,2.04930e-01
0.9406,2.93109e-01,1.54103e-01
0.9844,3.13499e-02,4.80758e-02
1.0281,-5.74430e-02,1.18022e-02
